,Words (split by space),label
0,senator carl krueger thinks ipods can kill you,surprise
1,who is prince frederic von anhalt,joy
2,prestige has magic touch,joy
3,study female seals picky about mates,joy
4,no e book for harry potter vii,joy
5,blair apologises over friendly fire inquest,joy
6,vegetables may boost brain power in older adults,joy
7,afghan forces retake town that was overrun by taliban,joy
8,skip the showers male sweat turns women on study says,joy
9,made in china irks some burberry shoppers,joy
10,britain to restrict immigrants from new eu members,joy
11,canadian breakthrough offers hope on autism,joy
12,russia to strengthen its military muscle,fear
13,alzheimer s drugs offer no help study finds,joy
14,uk police slammed over terror raid,joy
15,no rejects police state claim,joy
16,oprah announces new book club pick,joy
17,smith can t be buried until hearing,joy
18,african nation hopes whoopi can help,joy
19,tourism lags in bush s hometown,joy
20,air france klm profit rises,surprise
21,au regrets sudan s expulsion of un envoy,joy
22,taiwan s mr clean indicted steps down,joy
23,martian life could have evaded detection by viking landers,joy
24,turner pays for boston bombing,joy
25,serena misses bangalore tournament,joy
26,attorneys point fingers in fight between ryan o neal and son,joy
27,pledge i was abused in frat hazing,joy
28,whistle blowing web site exposed,surprise
29,growing unarmed battalion in qaeda army is using internet to get the message out,sad
30,royal rescues presidential hopes with commanding performance,fear
31,minister slams airlines on carbon,joy
32,audio slide show a love story lasting years,joy
33,fully cooked chicken strips recalled,joy
34,madonna adoption bid approved,surprise
35,rowdy fans ejected from the open,joy
36,snow wreaks havoc in east midwest,joy
37,the energy challenge exotic visions how to cool a planet maybe,joy
38,libby defense upsets judge rests,surprise
39,briton admits u s bomb plot role,joy
40,routine mission turns into hunt for missing comrade,joy
41,ex suspect slams anti terror laws,joy
42,federer overcomes a ragged start,joy
43,investigation of child porn site hits nations,joy
44,bangladesh ends curfew amid unrest,surprise
45,sarkozy comfort zone offers a royal opportunity,joy
46,sick hearts switch on a fetal gene,joy
47,chinese president arrives in mozambique african tour nearly over,joy
48,homemade bombs kill on indian train,joy
49,france rejects rwandan investigators,surprise
50,at libby trial russert of nbc gives and gets,joy
51,rare optimism as north korea talks reach crossroads,joy
52,for women nothing s like the smell of men s sweat,joy
53,reports harvard set to name first female president,joy
54,justin timberlake cameron diaz announce split,joy
55,hastert sorry for scandal but not quitting,joy
56,world s oldest newspaper now exists only online,joy
57,houston she s got some problems,joy
58,firms on alert for letter bombs,joy
59,study africa s internet gap getting wider,joy
60,siesta cuts risk of heart disease death study finds,joy
61,spain ahead although nadal is out,joy
62,runway making good without making nice,surprise
63,russia plans new icbms nuclear subs,joy
64,no buyer in sight for napster,surprise
65,outcry at n korea nuclear test,joy
66,ipod good for video games,joy
67,taking the plunge,joy
68,england include giles in wc squad,joy
69,beyonce copyright claim rejected,joy
70,london market a shopping dining haven,joy
71,pm havana deal a good experiment,joy
72,dozens killed in baghdad bombing,joy
73,damaged japanese whaling ship may resume hunting off antarctica,joy
74,un nuclear watchdog slashes iran aid,joy
75,toyota s scion parks in second life,joy
76,telecoms giant slashes jobs,joy
77,canete wins inaugural joburg open,joy
78,yahoo s mission quest,joy
79,weekly nielsen will lost find its way back,joy
80,u s online love brokers eye china,joy
81,amish schoolhouse torn down,surprise
82,china cheney shores up the trilateral alliance,joy
83,g yen skates by yuan singled out,surprise
84,friendly fire pilot experienced,joy
85,updates on world s top stories,joy
86,diplomat acknowledges us arrogance in iraq,joy
87,madonna s new baby s daddy didn t realize adoption was for good,joy
88,appeal by chinese researcher for times may soon be heard,joy
89,snowbirds shortening their florida stays,surprise
90,oxfam action needed for chad,joy
91,bush adamant on troops to iraq,joy
92,ukraine gas deal marred by fears,joy
93,shoplifters choice police or t shirt of shame,joy
94,travel chaos as heavy snow hits uk,joy
95,tow truck drivers accused of stealing cars,joy
96,joseph wambaugh s new start,joy
97,human error caused helios crash,surprise
98,charts is your city lean or lethargic,joy
99,st louis poised for entertainment upswing,joy
100,ivrea journal in italian town a civics lesson from pelting neighbors,joy
101,review virtual american idol hits right notes,joy
102,squadron apologies over friendly fire death,joy
103,the breast cancer breakthrough saving women a year,joy
104,abbas rejects temporary state,surprise
105,iraqi forces detain official suspected in shia conspiracy,joy
106,congressman rebukes u s allies for lack of support in afghanistan,surprise
107,easy ways to really save,joy
108,real suffer carlos injury setback,surprise
109,marijuana may stave off alzheimer s,joy
110,smokestacks in a white wilderness divide iceland,joy
111,paris journal smoking no longer tres chic in france,joy
112,cher s dress car bed have new owners,joy
113,hungarian opposition calls for vote after violence escalates,joy
114,freed kidnap suspect my terror at police raid,joy
115,rockers big winners at brit awards,joy
116,cia leak trial summary,surprise
117,experts issue new heart disease guidelines for women,joy
118,in god s name religion based tax breaks housing to paychecks to books,sad
119,snow causes transport chaos in britain,joy
120,injured sarwan to miss one dayers,joy
121,study napping might help heart,joy
122,tailors and housewives busy as muslims celebrate eid,joy
123,malaysia aggressively wooing tourists,joy
124,creating a whole album in a month,joy
125,wellcome awards anti fat research,surprise
126,can t do this anymore not jack,joy
127,iran s boast on uranium enrichment is put to test,joy
128,iraq closes borders with syria and iran,joy
129,in clue to addiction brain injury halts smoking,joy
130,manning inspires giants to victory in dallas,joy
131,research supports medicinal marijuana,joy
132,iraq insurgents attack us base,joy
133,fire extinguisher part of tennessee execution kit,joy
134,city sets up ice storm shelters,joy
135,gently weeps lyrics sheet up for sale,joy
136,cholesterol link in diabetes study,joy
137,zoo polar bear to have root canal,joy
138,howard slams obama on iraq policy,joy
139,fight starts over hpv vaccine,joy
140,obama announces presidential bid,joy
141,another death at georgia aquarium,joy
142,johnny depp to make movie of spy poisoning,joy
143,pap test a mainstay against cervical cancer may be fading,joy
144,boy allegedly told to kill by mom gives up,joy
145,catania punished for fan violence,joy
146,the summit a slap in the face of the palestinians,joy
147,dead bachelors in remote china still find wives,joy
148,boy missing since found alive,joy
149,girl left comatose after dental visit dies,joy
150,fine wines in british columbia,joy
151,bollywood s brangelina engaged,joy
152,north korea ready to discuss nuke disarmament,joy
153,action intensity boosts vision,surprise
154,stonehenge workers village found,joy
155,scientists tout cocoa s health benefits,joy
156,can north korea be trusted,surprise
157,trailblazing trio protects city by the bay,joy
158,ganguly handed india squad call up,joy
159,beauticians cut curl offer stroke prevention info,surprise
160,studios sign off on movie downloads,joy
161,global web of suspects in child rape download,joy
162,libby prosecutors await judge s rulings,joy
163,police probe church fires half mile apart,joy
164,second hanging also went awry iraq tape shows,joy
165,stepping back in time at ski resort,joy
166,iraqi journalists add laws to list of dangers,joy
167,boy scouts blamed for starting wildfire,joy
168,report links humans to global warming,joy
169,stenson defends his title at dubai,joy
170,iraqi linked to sunni bloc is held in plot military says,sad
171,china launches two satellites into orbit,surprise
172,north africa feared as staging ground for terror,joy
173,breast cancer drug promises hope,joy
174,mortar assault leaves at least dead,joy
175,building a memorial to a son one child at a time,joy
176,northeaster cancels flights shuts schools,joy
177,india to test new nuclear missile,joy
178,dell to cut bonuses trim management,joy
179,uk workers on alert for letter bombs,joy
180,storm leaves behind major travel troubles,joy
181,rupert murdoch s secret tivo,joy
182,house passes anti terrorism measure manila,joy
183,genghis khan beer mongolia grimaces,joy
184,youtube founders split m payout,joy
185,former teacher poses for playboy,joy
186,madonna files adoption papers in malawi,joy
187,eye on cosmos is lost to short circuit on hubble,joy
188,all african amputee football games kick off,joy
189,forecasters expect toasty,joy
190,corn stoves popping up in u s homes,joy
191,chvez threatens to jail violators of price controls,joy
192,scientists discover miracle in the depths,joy
193,google unveils do it yourself search engine,joy
194,ready to eat chicken breasts recalled due to suspected listeria,joy
195,teen allegedly armed by mom turns self in,joy
196,town packs gym to mourn killed in fire,joy
197,cocoa could be antidote to age related diseases says new study,joy
198,roundup protests erupt despite state of siege in guinea,joy
199,bush authorized iranians arrest in iraq rice says,joy
200,anglican and catholic churches could merge,joy
201,cousin gunman was srebrenica survivor,joy
202,australia tells bush to speed up guantanamo trial,joy
203,european space agency,joy
204,the secrets people reveal,joy
205,news baby pandas baby pandas baby pandas,joy
206,health canada issues advice on canned tuna,joy
207,grammys ready to name winners,joy
208,asean urges north korea resolution,surprise
209,rebels to join nepal parliament,joy
210,rice u s won t pull plug on iraq,joy
211,anglicans rebuke u s branch on same sex unions,joy
212,somalia declares state of emergency,joy
213,hussein co defendants executed,joy
214,james brown s year old son left out of will,joy
215,ms adds office to vista coupon program,joy
216,britain to limit workers from romania bulgaria,joy
217,us airways boosts bid for delta,joy
218,hpv vaccination stirs heated debate in america,joy
219,full recovery expected for marathon winner,joy
220,beckham won t play again for real,joy
221,cultural revolutionary the ipod is five,joy
222,village buried by inches of snow,joy
223,mountain glaciers melting faster united nations says,joy
224,ice storm smacks roads power,joy
225,ex border patrol agent beaten in prison,joy
226,israel to install cameras to show live mughrabi footage,joy
227,latest updates on world s top stories,joy
228,lily allen wins web music award,joy
229,rowling heartbroken euphoric at potter s end,joy
230,hamas fatah leaders pledge to meet until they reach agreement,joy
231,new vaccine for cervical cancer could prove useful in men too,sad
232,mbeki world cup planning on track,joy
233,money makeovers,joy
234,punter charged with stabbing asks to live outside state,sad
235,emi warns on profits boss goes,joy
236,gunman fine before shooting,joy
237,svindal claims are golden double,joy
238,ethiopia readies for millennium all its own,joy
239,mancuso sparks u s celebrations,joy
240,nasa spacecraft to measure sun,joy
241,teen repellent inventor wins infamous prize,surprise
242,peron held over s rights abuses,joy
243,kim jong il bans japanese cars in north korea,joy
244,canadians tracked in child porn ring,joy
245,ryan o neal injured son s girlfriend,joy
246,messi makes barcelona squad return,surprise
247,brith airways baggage charges cause confusion,surprise
248,a film star in kampala conjuring aminos ghost,joy
249,opponent is put on the spot over remarks about clinton,joy
250,apple set for massive market gains,joy
251,vista s hyped security will be tested,joy
252,dating difficult for harry potter,joy
253,uk letter bombs may be from extremist drivers,joy
254,bush vows cooperation on health care,joy
255,baby born on turnpike after dad misses exit,joy
256,parachutist dies at bridge jump festival,joy
257,citing spy agencies study democrats seek iraq changes,joy
258,airlines uk airport runway unsafe,joy
259,man gets second chance at space ride,joy
260,archaeologists find remains of couple locked in a hug,joy
261,study detects a gene linked to alzheimer s,joy
262,weight loss drug to be sold over the counter,joy
263,zach braff says he has mild depression,joy
264,apple warns itunes users to wait on vista,joy
265,guy sweat is babe magnet,joy
266,in egypt rice speaks softly,joy
267,ex jonbenet suspect child porn case dropped,joy
268,court tv accused killer tells jury a love story,joy
269,us to urge nato afghan spring offensive,joy
270,texan allegedly joined somalia rebel plot,surprise
271,tensions as hungary marks uprising,joy
272,idf shells lebanese army positions across northern border,joy
273,north korea claims nuclear test,joy
274,beckham to l a for the game not fame,joy
275,hungary police tackle violent protestors,surprise
276,arthurs upsets robredo in first round at the st petersburg open,sad
277,brazil air force cites faults and confusion in fatal crash,joy
278,war is close ethiopia tells somali rebels,joy
279,democrats plot bush troop increase censure,joy
280,bangladesh ferry sinks dead,joy
281,sale of chrysler possible,joy
282,lawyer for deceased nazi era collaborator papon vows to bury him,joy
283,mixed reaction to china s africa push,joy
284,jon stewart mocks benefits of cnn s i,joy
285,top colombia official resigns,joy
286,toshiba portege r,joy
287,luxury digs in south carolina s lowcountry,joy
288,th person dies after receiving flu shot,joy
289,bears watch as lead slips away,joy
290,jail me i ate ivory coast chocolate,joy
291,teacher charged with sex assault,joy
292,college tuition continues climbing,surprise
293,matthews lays off turkey workers,joy
294,space life search turns to tv,joy
295,myspace welcomes french friends,surprise
296,hackers attack root servers,joy
297,ice storm coating midwest,joy
298,gop senators to force debate on troops in iraq,sad
299,ex teacher guilty in nude pictures scheme,joy
300,years on but couple still hugging,joy
301,pats fourth quarter rally finishes chargers,joy
302,review alpha dog misses the point,joy
303,andromeda involved in galactic collision,joy
304,injured marathon winner leaves hospital,surprise
305,kate is marrying doherty,joy
306,baghdad plan is a success iraq prime minister tells bush,joy
307,beckham outlines reasons for move,joy
308,al qaeda chiefs are seen to regain power,joy
309,start late retire rich,joy
310,autos drive european gains,joy
311,immigrants and french reach deal in standoff,joy
